unit_number,time_stamp,operational_setting_1,operational_setting_2,operational_setting_3,sensor_measurement_1,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_5,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_10,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,status,rul
1.0,2017-03-17 12:00:00,0.0002,0.0002,100.0,518.67,642.58,1584.96,1399.95,14.62,21.61,553.8,2388.06,9054.92,1.3,47.12,521.89,2388.04,8137.27,8.4542,0.03,392.0,2388.0,100.0,38.81,23.3319,0.0,176.0
1.0,2017-03-07 12:00:00,0.001,0.0001,100.0,518.67,642.48,1592.32,1397.77,14.62,21.61,554.34,2388.02,9059.13,1.3,47.36,522.32,2388.03,8132.32,8.3974,0.03,392.0,2388.0,100.0,39.1,23.3774,0.0,186.0
1.0,2017-03-24 12:00:00,-0.001,0.0003,100.0,518.67,642.38,,1398.81,14.62,21.61,553.49,,9043.76,1.3,47.44,522.13,2388.03,8133.88,8.3891,0.03,392.0,2388.0,100.0,39.0,23.3696,0.0,169.0
1.0,2017-08-04 12:00:00,-0.0018,0.0002,100.0,518.67,642.2,1598.04,1412.47,14.62,21.61,552.32,2388.14,9053.12,1.3,47.72,520.94,2388.17,8125.07,8.4328,0.03,392.0,2388.0,100.0,38.67,23.2354,0.0,36.0
1.0,2017-09-03 12:00:00,-0.0047,-0.0,100.0,518.67,643.32,,1427.27,14.62,21.61,551.08,2388.29,9037.71,1.3,48.23,519.53,2388.28,8115.67,8.5218,0.03,396.0,2388.0,100.0,38.42,23.0822,0.0,6.0
1.0,2017-05-06 12:00:00,0.0016,-0.0004,100.0,518.67,642.33,1590.22,1403.02,14.62,21.61,554.31,2388.1,9050.24,1.3,47.39,522.64,2388.08,8134.07,8.3925,0.03,393.0,2388.0,100.0,38.97,23.291,0.0,126.0
1.0,2017-07-05 12:00:00,-0.001,0.0002,100.0,518.67,642.99,1586.9,1399.49,14.62,21.61,553.81,2388.09,9047.9,1.3,47.63,521.34,,8133.0,8.4626,0.03,393.0,2388.0,100.0,38.91,23.2772,0.0,66.0
1.0,2017-05-28 12:00:00,0.0008,-0.0001,100.0,518.67,642.24,1584.73,1402.22,14.62,21.61,553.91,2388.05,9055.24,1.3,47.46,,2388.08,8135.15,8.4489,0.03,392.0,2388.0,100.0,38.95,23.3288,0.0,104.0
1.0,2017-08-07 12:00:00,-0.0006,-0.0004,100.0,518.67,643.45,1590.65,1418.08,14.62,21.61,551.87,2388.21,9045.42,1.3,47.84,520.47,2388.22,8122.68,8.4433,0.03,396.0,2388.0,100.0,38.52,23.2817,0.0,33.0
1.0,2017-07-24 12:00:00,0.0002,-0.0003,100.0,518.67,642.72,1586.75,1408.82,14.62,21.61,552.6,2388.12,9045.99,1.3,47.63,521.13,2388.12,8129.19,8.4312,0.03,392.0,2388.0,100.0,38.69,,0.0,47.0
1.0,2017-07-20 12:00:00,0.0026,0.0002,100.0,,642.51,1595.29,1413.42,14.62,21.61,553.11,2388.1,9046.61,1.3,47.59,520.44,2388.18,8124.87,8.4291,0.03,392.0,2388.0,100.0,38.71,23.2816,0.0,51.0
1.0,2017-03-21 12:00:00,,0.0001,100.0,518.67,642.37,1586.07,1398.13,14.62,21.61,554.08,2388.11,9048.15,1.3,47.15,522.42,2388.08,8134.02,8.4049,0.03,392.0,2388.0,100.0,39.09,23.3101,0.0,172.0
1.0,2017-05-17 12:00:00,0.004,0.0002,,518.67,641.99,1580.76,1404.1,14.62,21.61,553.47,2388.08,9042.37,1.3,47.4,522.28,2388.16,8133.91,8.3793,0.03,392.0,2388.0,100.0,38.88,23.3486,0.0,115.0
1.0,2017-07-23 12:00:00,-0.0004,-0.0001,100.0,518.67,642.95,,1409.63,14.62,21.61,553.03,2388.13,9046.92,1.3,47.54,521.13,2388.15,8130.91,8.4644,0.03,395.0,2388.0,100.0,38.67,23.149,0.0,48.0
1.0,2017-05-30 12:00:00,0.0025,-0.0004,100.0,518.67,641.98,1584.84,1404.76,14.62,21.61,553.54,2388.04,9050.72,1.3,47.32,521.55,,8134.4,8.3949,0.03,394.0,2388.0,100.0,39.11,23.3842,0.0,102.0
1.0,2017-05-13 12:00:00,0.0027,0.0001,100.0,518.67,,1584.65,1401.48,14.62,21.61,554.03,2388.07,9045.85,1.3,47.58,522.25,2387.97,8132.67,,0.03,392.0,2388.0,100.0,38.8,23.382,0.0,119.0
1.0,2017-05-01 12:00:00,0.0004,0.0001,100.0,518.67,642.17,1581.59,1399.54,14.62,21.61,554.45,2388.1,9053.62,1.3,47.28,522.19,2388.1,8132.28,8.4071,0.03,391.0,2388.0,100.0,39.03,23.2707,0.0,131.0
1.0,2017-07-28 12:00:00,0.001,-0.0003,100.0,518.67,643.06,1589.01,1409.22,14.62,21.61,553.57,2388.12,9044.76,,,520.5,2388.21,8122.99,8.4726,0.03,394.0,2388.0,100.0,38.68,23.2082,0.0,43.0
1.0,2017-04-22 12:00:00,0.0021,-0.0001,100.0,518.67,642.61,1579.82,1402.26,14.62,21.61,554.16,2388.05,9051.15,1.3,47.29,521.96,2388.06,8134.38,8.4418,0.03,392.0,2388.0,100.0,38.9,23.3775,0.0,140.0
1.0,2017-07-25 12:00:00,0.0047,0.0001,100.0,518.67,642.25,1594.85,1409.96,14.62,21.61,,2388.14,9041.24,,47.8,520.92,2388.12,8126.13,8.4428,0.03,393.0,2388.0,100.0,38.77,23.2684,0.0,46.0
1.0,2017-07-02 12:00:00,0.0025,0.0002,100.0,518.67,642.48,1587.14,1402.28,14.62,21.61,552.26,2388.13,9053.03,1.3,47.55,521.4,2388.13,8133.82,8.4416,0.03,393.0,2388.0,100.0,38.8,23.2341,0.0,69.0
1.0,2017-08-13 12:00:00,-0.0022,-0.0003,100.0,518.67,643.34,1596.72,1422.37,14.62,21.61,552.13,2388.22,9043.11,1.3,47.86,520.02,2388.22,8119.14,8.4663,0.03,395.0,2388.0,100.0,38.62,23.145,0.0,27.0
1.0,,-0.0004,0.0005,100.0,518.67,,1585.47,1406.42,14.62,21.61,552.44,2388.13,9046.16,1.3,47.63,521.57,2388.11,8126.33,8.4079,0.03,394.0,2388.0,100.0,38.68,23.3039,0.0,68.0
1.0,2017-03-02 12:00:00,0.0019,-0.0003,,518.67,642.15,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,1.3,47.49,522.28,2388.07,8131.49,8.4318,0.03,392.0,2388.0,100.0,39.0,23.4236,0.0,191.0
1.0,2017-03-26 12:00:00,0.0,0.0002,100.0,518.67,642.16,1589.08,1396.07,14.62,21.61,554.11,2388.07,9047.11,1.3,47.26,522.28,2388.06,8131.15,8.426,0.03,394.0,,100.0,38.86,23.4149,0.0,167.0
1.0,2017-04-30 12:00:00,0.0004,0.0005,100.0,518.67,642.1,1583.55,1405.52,14.62,21.61,554.09,2388.11,9050.58,1.3,47.31,522.34,2388.09,8131.66,8.4264,0.03,391.0,2388.0,100.0,38.89,23.3638,0.0,132.0
1.0,2017-05-03 12:00:00,0.0017,0.0002,100.0,518.67,642.23,1584.51,1400.11,14.62,21.61,553.88,2388.1,9043.67,1.3,47.45,521.82,2388.04,8128.15,8.4066,0.03,391.0,2388.0,100.0,38.93,,0.0,
1.0,2017-09-08 12:00:00,0.0009,-0.0,100.0,518.67,643.54,1601.41,1427.2,14.62,21.61,551.25,2388.32,9033.22,1.3,48.25,520.08,2388.32,8110.93,8.5113,0.03,396.0,2388.0,100.0,38.48,22.9649,1.0,1.0
1.0,2017-06-20 12:00:00,0.0005,0.0003,100.0,518.67,642.66,1586.46,1401.84,14.62,21.61,553.19,2388.06,9051.28,1.3,47.22,,2388.08,8131.52,8.4445,0.03,394.0,2388.0,100.0,38.84,23.3207,0.0,81.0
,2017-05-16 12:00:00,0.0022,0.0004,100.0,518.67,642.55,1586.3,1400.97,14.62,21.61,554.61,2388.06,9046.44,1.3,47.41,521.6,2388.08,8135.25,8.453,0.03,393.0,2388.0,100.0,38.99,23.275,0.0,116.0
1.0,2017-04-23 12:00:00,-0.0002,0.0005,100.0,518.67,642.42,1592.59,1401.2,14.62,21.61,553.95,2388.04,9056.29,1.3,47.38,522.44,2388.06,8129.95,,0.03,392.0,2388.0,100.0,38.96,,0.0,139.0
1.0,2017-08-09 12:00:00,-0.0005,0.0004,100.0,518.67,643.15,1592.22,1423.48,14.62,21.61,552.68,2388.15,9044.45,1.3,47.79,520.44,2388.2,8123.77,8.5015,0.03,394.0,2388.0,100.0,38.78,23.1538,0.0,31.0
1.0,2017-06-06 12:00:00,0.0006,0.0004,100.0,518.67,642.0,1591.11,1404.56,14.62,21.61,552.75,2388.06,9045.49,1.3,47.37,522.31,2388.06,8127.89,8.4012,0.03,391.0,2388.0,,38.96,23.2554,0.0,95.0
1.0,2017-08-14 12:00:00,0.0012,0.0003,100.0,518.67,643.02,1593.83,1414.72,14.62,21.61,552.57,2388.23,9042.05,1.3,47.85,520.49,,8122.41,8.4632,0.03,394.0,2388.0,100.0,,23.3011,0.0,26.0
1.0,2017-08-21 12:00:00,-0.0001,-0.0002,100.0,518.67,,1599.81,,14.62,21.61,552.32,,9041.25,1.3,48.0,520.22,2388.21,8119.17,8.4476,0.03,393.0,2388.0,100.0,38.57,23.0357,0.0,19.0
1.0,2017-05-19 12:00:00,-0.0002,-0.0004,100.0,518.67,641.94,1591.96,1393.58,14.62,21.61,553.91,2388.06,9043.67,1.3,47.64,521.52,2388.1,8134.66,8.4235,0.03,392.0,2388.0,100.0,38.89,23.3613,0.0,113.0
1.0,2017-07-01 12:00:00,0.0016,-0.0002,100.0,518.67,643.39,1586.66,1403.04,14.62,21.61,552.64,2388.12,9049.44,1.3,47.41,521.6,2388.17,8129.72,8.4396,0.03,392.0,2388.0,100.0,38.9,23.292,,70.0
1.0,2017-03-04 12:00:00,0.0007,0.0,100.0,518.67,,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392.0,2388.0,100.0,38.88,23.3739,0.0,189.0
1.0,2017-05-22 12:00:00,0.0004,0.0005,100.0,518.67,642.66,1588.05,1406.38,14.62,21.61,553.49,2388.08,9049.08,1.3,47.22,521.93,2388.05,8131.32,8.4128,,391.0,2388.0,100.0,38.8,23.3274,0.0,
1.0,2017-06-16 12:00:00,0.0008,0.0001,100.0,518.67,643.49,1585.91,1399.47,14.62,21.61,554.43,2388.14,9047.03,1.3,47.61,521.52,2388.03,8131.52,8.4133,0.03,393.0,2388.0,100.0,38.75,23.3032,0.0,85.0
1.0,2017-03-19 12:00:00,0.0032,-0.0003,100.0,518.67,641.79,1587.56,1400.35,14.62,21.61,554.18,2388.04,9053.99,1.3,47.4,521.89,2388.03,8129.13,8.4321,0.03,391.0,2388.0,100.0,38.8,23.3464,0.0,174.0
1.0,2017-08-27 12:00:00,-0.0024,0.0,100.0,518.67,643.58,1599.87,1417.14,14.62,,552.91,2388.21,9039.33,1.3,47.85,519.84,2388.28,8122.57,8.4737,0.03,395.0,2388.0,100.0,38.86,23.007,,13.0
,2017-07-19 12:00:00,-0.0023,0.0005,100.0,518.67,642.39,1590.02,1415.25,14.62,21.61,553.45,2388.13,9050.86,1.3,47.49,521.06,2388.16,8120.93,8.4641,0.03,394.0,2388.0,100.0,39.02,23.2382,0.0,52.0
1.0,2017-05-25 12:00:00,-0.0012,0.0004,100.0,518.67,641.84,1588.8,1403.56,14.62,21.61,553.69,2388.1,9047.26,1.3,,521.82,2388.09,8130.06,8.4173,0.03,394.0,2388.0,100.0,38.94,23.3945,0.0,107.0
1.0,2017-06-04 12:00:00,-0.0034,0.0001,100.0,518.67,642.19,1584.07,1395.16,,21.61,553.34,2388.07,9048.71,1.3,47.39,521.66,2388.06,8130.69,8.4311,0.03,392.0,2388.0,100.0,38.88,23.3255,0.0,97.0
1.0,2017-06-07 12:00:00,-0.0005,-0.0,100.0,518.67,642.46,1592.73,1406.13,,21.61,553.76,2388.08,9045.14,1.3,47.4,521.42,2388.1,8131.77,8.4481,0.03,393.0,2388.0,100.0,38.82,23.2323,0.0,94.0
1.0,2017-03-10 12:00:00,-0.0033,0.0001,100.0,,641.71,1591.24,1400.46,,21.61,553.59,2388.05,9051.7,1.3,47.03,521.79,2388.06,8129.38,8.4286,0.03,393.0,2388.0,100.0,38.95,23.4694,0.0,183.0
1.0,2017-06-23 12:00:00,-0.0017,0.0005,100.0,518.67,642.66,1594.84,1406.6,14.62,21.61,554.13,2388.11,9050.37,1.3,47.43,521.36,2388.12,8127.6,8.4345,0.03,393.0,2388.0,100.0,38.93,23.3022,0.0,78.0
1.0,2017-07-29 12:00:00,-0.0019,-0.0001,100.0,518.67,642.82,1592.39,,14.62,21.61,552.41,2388.14,9048.12,1.3,47.58,520.94,2388.22,8127.21,8.4612,0.03,394.0,2388.0,100.0,38.56,23.2277,0.0,42.0
1.0,2017-06-26 12:00:00,-0.0006,-0.0004,100.0,518.67,642.34,1585.67,1409.34,14.62,21.61,554.25,2388.1,9051.12,1.3,47.55,521.31,2388.12,8135.21,8.4197,0.03,393.0,2388.0,100.0,,23.2966,0.0,75.0
1.0,2017-08-15 12:00:00,-0.0043,0.0002,100.0,518.67,642.68,1591.19,1415.7,14.62,,552.09,2388.22,9036.35,1.3,47.84,520.78,2388.19,8124.44,8.4925,0.03,393.0,2388.0,100.0,38.76,23.277,0.0,25.0
1.0,2017-05-05 12:00:00,-0.0007,-0.0004,100.0,518.67,642.5,1588.5,1399.52,14.62,21.61,554.0,2388.06,9059.45,1.3,47.14,521.76,,8128.32,8.3911,0.03,391.0,2388.0,100.0,38.95,23.3152,0.0,127.0
1.0,2017-08-11 12:00:00,0.0005,-0.0002,100.0,518.67,643.17,1598.96,1416.76,14.62,21.61,551.9,2388.17,9048.92,1.3,47.7,520.63,2388.28,8124.63,8.4803,,394.0,2388.0,100.0,38.62,23.1761,0.0,29.0
1.0,2017-07-30 12:00:00,0.0009,-0.0001,100.0,518.67,642.67,1598.6,1420.83,14.62,21.61,552.62,2388.18,9043.9,1.3,47.72,520.39,,8119.0,8.4572,0.03,395.0,2388.0,100.0,38.77,23.2369,0.0,41.0
1.0,2017-06-08 12:00:00,-0.0021,-0.0003,100.0,518.67,642.22,,1411.35,14.62,21.61,554.22,2388.07,9045.72,1.3,47.64,521.55,2388.08,8132.49,8.4241,0.03,392.0,2388.0,100.0,38.93,23.409,0.0,93.0
1.0,2017-07-04 12:00:00,0.0016,0.0001,100.0,518.67,642.49,1582.64,1418.5,14.62,21.61,553.72,2388.05,9049.11,,47.49,521.35,2388.08,8130.94,8.4378,0.03,392.0,2388.0,100.0,38.85,23.2289,0.0,67.0
1.0,2017-08-22 12:00:00,0.0001,0.0002,100.0,518.67,643.61,1603.29,1422.52,14.62,21.61,551.64,2388.23,9042.66,1.3,47.86,520.38,2388.22,8125.76,8.489,0.03,394.0,2388.0,100.0,38.58,23.1573,0.0,18.0
1.0,2017-05-07 12:00:00,-0.0018,0.0,100.0,518.67,642.51,1582.06,1404.42,14.62,21.61,554.04,2388.1,9051.78,1.3,47.36,521.72,2388.07,8132.39,8.4242,0.03,392.0,2388.0,100.0,38.95,23.3174,0.0,125.0
1.0,2017-04-27 12:00:00,-0.0014,0.0001,100.0,518.67,641.9,1590.46,1397.99,14.62,21.61,554.14,2388.09,9050.33,1.3,47.26,522.21,2388.04,8132.08,8.4319,0.03,390.0,2388.0,100.0,38.93,23.2893,0.0,135.0
1.0,2017-08-23 12:00:00,-0.002,-0.0003,100.0,518.67,642.86,1592.27,1422.73,14.62,21.61,551.91,2388.23,,1.3,47.84,519.8,2388.2,8123.8,8.4853,,394.0,2388.0,,38.72,23.2491,0.0,
1.0,2017-06-19 12:00:00,0.0008,0.0004,100.0,518.67,642.67,1584.38,1408.11,14.62,21.61,553.49,2388.12,9051.64,1.3,47.62,,2388.14,8132.4,8.4447,0.03,392.0,2388.0,100.0,38.92,23.2135,0.0,82.0
1.0,2017-08-06 12:00:00,-0.0006,0.0001,100.0,518.67,642.89,1589.54,1420.37,14.62,21.61,552.18,2388.13,,1.3,47.76,520.65,2388.23,8127.61,8.4403,0.03,394.0,2388.0,100.0,38.76,23.253,0.0,34.0
1.0,2017-07-31 12:00:00,0.0011,,100.0,518.67,642.99,,1414.56,14.62,21.61,552.68,2388.14,9049.43,1.3,47.74,520.69,2388.17,8124.14,8.4435,0.03,393.0,2388.0,100.0,38.78,23.1719,0.0,40.0
1.0,2017-05-08 12:00:00,-0.0022,0.0005,100.0,518.67,642.44,1590.7,1401.24,14.62,21.61,,2388.07,9050.59,1.3,,522.22,2388.1,8129.13,8.4292,0.03,392.0,2388.0,100.0,39.0,23.3742,0.0,124.0
1.0,2017-08-01 12:00:00,-0.0012,0.0,100.0,518.67,642.81,1597.03,1416.07,14.62,21.61,552.57,2388.14,9049.08,1.3,47.73,520.72,2388.18,8129.24,8.4794,0.03,394.0,2388.0,100.0,38.82,23.2366,0.0,39.0
1.0,2017-09-05 12:00:00,-0.0006,0.0002,100.0,518.67,644.18,1596.17,1428.01,14.62,21.61,550.7,2388.27,9044.55,1.3,48.08,519.58,2388.33,8117.51,,0.03,395.0,2388.0,100.0,38.48,23.1127,0.0,4.0
1.0,2017-03-03 12:00:00,-0.0043,0.0003,,518.67,642.35,1587.99,1404.2,14.62,21.61,554.26,2388.08,9052.94,1.3,,522.42,2388.03,8133.23,8.4178,0.03,390.0,2388.0,100.0,38.95,23.3442,0.0,190.0
1.0,2017-07-27 12:00:00,0.0025,0.0004,100.0,518.67,642.9,1592.78,1410.7,14.62,21.61,552.54,2388.17,9057.24,1.3,47.83,521.13,2388.15,8124.34,8.4731,0.03,394.0,2388.0,100.0,38.77,23.2565,,44.0
1.0,2017-06-13 12:00:00,0.0024,0.0004,100.0,518.67,,1588.28,1403.22,14.62,21.61,,2388.09,9048.36,1.3,47.31,521.81,2388.08,8134.01,8.4326,0.03,393.0,2388.0,100.0,38.77,23.3857,0.0,88.0
1.0,2017-03-25 12:00:00,0.0023,-0.0004,,518.67,642.77,1594.1,1399.39,14.62,21.61,554.0,2388.02,9054.16,1.3,47.36,522.56,2388.02,8136.61,8.3917,0.03,393.0,2388.0,100.0,38.95,23.4288,0.0,168.0
1.0,2017-06-25 12:00:00,0.0005,0.0004,100.0,518.67,642.38,1589.77,1409.35,14.62,21.61,554.59,2388.1,9049.61,1.3,47.52,521.22,2388.1,8126.12,8.4256,0.03,391.0,2388.0,100.0,38.73,23.1766,,76.0
1.0,2017-08-20 12:00:00,-0.0032,0.0002,100.0,518.67,642.97,1590.69,1425.27,14.62,21.61,552.13,2388.22,9048.82,1.3,47.9,520.11,2388.23,8121.64,,0.03,,,100.0,38.59,,0.0,20.0
1.0,2017-04-25 12:00:00,0.0007,-0.0002,100.0,518.67,642.49,1586.33,1400.76,14.62,21.61,553.98,2388.01,9042.42,1.3,47.26,522.48,2388.04,8135.4,8.4022,0.03,391.0,2388.0,100.0,38.68,23.3408,0.0,137.0
1.0,2017-05-14 12:00:00,0.0009,-0.0004,100.0,518.67,641.96,1582.32,1394.82,14.62,21.61,553.6,2388.07,9042.32,1.3,47.22,521.77,2388.11,8130.13,8.4621,0.03,392.0,2388.0,100.0,,23.3521,0.0,118.0
1.0,2017-05-10 12:00:00,0.0016,-0.0003,100.0,518.67,642.21,1580.41,1403.09,14.62,21.61,554.06,2388.03,9046.09,1.3,47.3,521.72,2388.09,,8.423,0.03,391.0,2388.0,100.0,38.8,23.3881,0.0,122.0
1.0,2017-09-04 12:00:00,-0.0067,0.0003,100.0,518.67,643.75,1602.38,1422.78,14.62,21.61,551.94,2388.31,9037.91,1.3,48.0,519.79,2388.23,8117.69,8.5207,0.03,396.0,2388.0,100.0,38.51,22.9588,0.0,5.0
1.0,2017-07-21 12:00:00,-0.0005,-0.0003,100.0,518.67,642.77,1593.1,,14.62,,553.62,2388.13,9050.63,1.3,47.52,520.98,2388.11,8126.81,8.4419,0.03,393.0,2388.0,100.0,38.79,23.2305,0.0,50.0
1.0,2017-06-10 12:00:00,0.0017,0.0005,100.0,518.67,642.85,1589.11,1403.42,14.62,21.61,553.42,2388.15,9051.36,1.3,47.49,521.38,2388.05,8130.4,8.4561,0.03,393.0,2388.0,100.0,38.94,23.3653,0.0,91.0
1.0,2017-06-18 12:00:00,-0.0,0.0004,100.0,518.67,642.55,1590.01,1401.27,14.62,21.61,554.08,2388.13,9051.4,1.3,47.55,522.01,2388.12,8127.16,8.4638,0.03,393.0,2388.0,100.0,39.06,23.2951,0.0,83.0
1.0,2017-07-16 12:00:00,-0.0011,0.0001,100.0,518.67,642.79,1589.82,1413.34,14.62,21.61,,2388.11,9049.64,1.3,47.4,521.57,,8129.67,8.4208,0.03,392.0,2388.0,100.0,39.0,23.3664,,55.0
